idx1,idx2,name1,name2,separation_pc,vrel_kms,vesc_kms,dsi,energy_ratio,bound_energy_flag,mass1_msun,mass2_msun
1737,2495,OC_0416,UBC_451,7250.327977546535,124.42220960700764,0.0228949405195798,0.0001840100781998,29533626.63484501,False,274.01005641,167.81018393
1235,1849,Haffner_14,Ruprecht_36,1150.95178268802,22.39719379404671,0.1579304149021591,0.0070513483231161,20112.018644771622,False,3039.07334766,298.24470808
1886,2836,Ruprecht_107,UFMG_88,3472.5534218361545,100.77623385812971,0.0678759398923706,0.000673531221537,2204370.221172496,False,1132.16966113,727.73020862
2165,2589,Theia_3010,UBC_1010,2388.5323175613185,20.47175514010897,0.0598167892383901,0.0029219179708336,117128.87203601994,False,154.17218522,839.36982008
466,768,CWNU_2103,Feinstein_1,2741.334255215208,66.30879132398047,0.0707456071565195,0.0010669114267346,878503.0366260203,False,186.15092715,1408.88277854
940,1823,HSC_1056,RSG_5,1214.738409045468,23.592874111060567,0.0487030448461535,0.0020643116483769,234665.6233852433,False,196.56766014,138.40079197
406,2881,CWNU_1540,UPK_118,4052.946861497362,109.524716040244,0.036691846433657,0.0003350097380775,8910152.503975522,False,540.67757859,93.65783766
1446,1835,NGC_2236,Ruprecht_4,2188.8869743853115,20.87335822339179,0.1424075397473569,0.0068224546440144,21484.175219578578,False,3492.32932766,1668.24716246
186,1077,COIN-Gaia_6,HSC_2016,9056.802268480558,210.09199477446413,0.0677053932594883,0.0003222654596248,9628806.943839626,False,889.64391957,3936.83408872
204,882,COIN-Gaia_28,HSC_584,4199.449967087103,102.67458762672138,0.038897071435991,0.0003788383507066,6967743.030389914,False,320.74155779,417.9023767
1091,2338,HSC_2103,UBC_135,5881.638920336182,207.52840841250983,0.0541373213775009,0.0002608670388388,14694729.063841045,False,308.40351652,1695.6107198
260,2893,CWNU_175,UPK_178,2382.87583021549,51.30491213854098,0.0411585894838291,0.0008022348692984,1553806.4878595525,False,227.81048389,241.46870354
1524,1607,NGC_2818,NGC_6469,4117.336003342163,98.7812941061802,0.08238219946421,0.0008339858290949,1437747.62039577,False,2346.71410554,901.85411035
1657,2410,NGC_7062,UBC_272,4741.723953757969,115.2621601295454,0.0595782372595093,0.0005168932908471,3742813.69305876,False,1188.02155028,768.66149593
