pair_id,cluster1,cluster2,log_age1,log_age2,log_age_mean,age_yr,age_myr,mass1_msun,mass2_msun,mass_total_msun,separation_pc,vesc_kms,vrel_kms,dsi,p_bound,p_dis,m_dis_msun,vrel_over_vesc,tf_mean,ra1_deg,dec1_deg,parallax1_mas,pmra1_masyr,pmdec1_masyr,rv1_kms,ra2_deg,dec2_deg,parallax2_mas,pmra2_masyr,pmdec2_masyr,rv2_kms,d_now_pc,d_min_pc,t_d_min_myr,d_now_over_d_min,expansion_factor,is_expanding,delta_d_pc,compact_origin_class,class_label,reduced_mass_msun,e_k_msun_kms2,e_g_msun_kms2,e_orb_msun_kms2,energy_ratio,bound_energy_flag,energy_ratio_from_velocity,energy_ratio_check_absdiff,energy_ratio_check_reldiff
77,Theia_398,Theia_759,8.1,8.3,8.2,158489319.2461111,158.4893192461111,189.5518,243.6751,433.2269,105.26812,0.18817,3.99358,0.0471181245899669,0.0542361305773556,0.9457638694226445,409.730349281977,21.223255566774725,726.60725,104.2824,-20.01625,1.52275,-5.43108,1.4739,22.6231,112.31639,-18.95174,1.35509,-5.28455,0.25489,23.29708,123.3807302575404,48.8828102331539,-20.0,2.5240105810009186,2.5240105810009186,True,74.4979200243865,B_loose_complex,B: 20-50 pc,106.61631080660041,850.1947767615462,1.8871363833625188,848.3076403781837,450.5211092622042,False,450.42657685263435,0.0945324095698652,0.0002098290349250808
119,HXHWL_42,Theia_3932,7.6,8.95,8.274999999999999,188364908.94897944,188.36490894897943,265.8469,153.7227,419.5696,133.2168,0.16462,14.41221,0.0114222593203956,0.0489981613478286,0.9510018386521714,399.0114610425561,87.54835378447333,2792.2087250000004,122.37288,-35.49321,0.85971,-4.76759,3.01247,11.13924,119.40076,-35.11151,0.78333,-4.61401,2.2347,26.00278,124.86091708540404,49.89174030592335,-7.5,2.502637036106357,2.502637036106357,True,74.96917677948069,B_loose_complex,B: 20-50 pc,97.40148774989895,10115.719029598231,1.3193854663661295,10114.399644131865,7666.992920165393,False,7664.714250371307,2.278669794086454,0.00029720515172163464
33,Theia_1761,UBC_340,9.05,8.55,8.8,630957344.4801943,630.9573444801944,166.4199,354.0215,520.4414,54.16657,0.28752,4.61957,0.0622395590931623,0.0566106835954149,0.943389316404585,490.9788565746453,16.066951864218144,192.31087,268.59817,-23.11113,0.72644,0.06309,-2.59099,-13.32021,270.81946,-22.61346,0.7362,0.65396,-2.57343,-13.62937,53.478584176791294,22.43520584151761,-11.0,2.383690372825827,2.383690372825827,True,31.043378335273683,B_loose_complex,B: 20-50 pc,113.20433506606122,1207.9144234257171,4.678047721745808,1203.2363757039714,258.20908534360433,False,258.1469422071029,0.062143136501447316,0.00024066982933134256
30,HXHWL_22,NGC_2353,8.4,8.3,8.350000000000001,223872113.85683468,223.8721138568347,181.9155,542.7381,724.6536000000001,48.70492,0.35779,6.5068,0.0549870904284748,0.0554598568652285,0.9445401431347716,684.4644150671276,18.186086810699013,148.65717,108.95329,-9.47162,0.85663,-0.60776,0.91433,13.67815,108.63866,-10.25909,0.83685,-1.0988,0.78659,18.83853,32.64429898689747,14.67371870409311,-4.5,2.2246779868958244,2.2246779868958244,True,17.970580282804356,A_compact_origin,A: Dmin < 20 pc,136.24781941406212,2884.2604887897487,8.718630428029003,2875.5418583617197,330.8157757802547,False,330.7337534862806,0.08202229397409155,0.00024793948771226405
106,CWNU_2700,UBC_281,7.4,7.7,7.550000000000001,35481338.923357606,35.481338923357605,327.9212,375.1369,703.0581,93.70438,0.25408,10.43646,0.0243454198070993,0.0508366316941769,0.949163368305823,667.3169943106922,41.07548803526449,350.396955,180.96068,-63.65876,0.42577,-5.81184,0.07605,-23.73431,178.25707,-64.55045,0.40914,-5.56462,0.2009,-12.34169,113.75707214997588,55.67802442651519,-9.0,2.0431233565069182,2.0431233565069182,True,58.0790477234607,C_wide_or_chance,C: >= 50 pc,174.97180163670686,9528.937837917432,5.646254856559945,9523.291583060873,1687.6563456653928,False,1687.1957173351564,0.4606283302364318,0.00027293964877358947
10,CWNU_218,LP_2210,8.85,8.85,8.85,707945784.3841373,707.9457843841373,223.2858,377.9468,601.2326,36.37696,0.3771,19.51162,0.0193269446616939,0.0501150663661474,0.9498849336338524,571.1017883495086,51.741235746486346,66.506955,244.93126,-55.56478,0.74135,0.01002,-1.48735,-20.18742,247.14896,-54.99539,0.71235,0.00017,-1.25218,-1.0467,64.20782883796046,33.83108510541348,-3.0,1.8978944552885848,1.8978944552885848,True,30.376743732546984,B_loose_complex,B: 20-50 pc,140.36190585048115,26718.12143021045,9.97760860216413,26708.143821608286,2677.808129737152,False,2677.1554765734763,0.6526531636754953,0.00024372663464113033
71,CWNU_230,Ruprecht_135,8.65,9.1,8.875,749894209.3324559,749.8942093324558,164.4958,272.1408,436.6366,111.57357,0.1835,18.24062,0.0100599650669768,0.0488080741078371,0.9511919258921628,415.325208469006,99.40392370572208,1656.68839,270.10554,-13.33526,0.97167,1.49754,-0.76488,-30.72087,269.51617,-11.64509,0.8971,1.45707,-1.43639,-13.59314,91.82688380005172,52.18490466142497,-4.0,1.7596445638029508,1.7596445638029508,True,39.641979138626745,C_wide_or_chance,C: >= 50 pc,102.52465919861048,17056.013478669,1.7256321774327124,17054.287846491567,9883.921789198363,False,9881.140048093015,2.7817411053474643,0.0002814410276280705
45,BDSB_91,UPK_448,6.65,7.5,7.075,11885022.27437019,11.88502227437019,34.7504,155.2268,189.9772,66.93146,0.15627,12.06667,0.0129505489086881,0.0492122463501174,0.9507877536498824,180.62799523269445,77.21680424905612,1529.95166,96.30793,-10.56515,1.05106,-3.16019,1.23957,41.43012,100.81662,-12.24754,1.08295,-2.61267,0.74405,30.6659,82.25559459261522,47.27871125783008,-5.5,1.739801961691425,1.739801961691425,True,34.97688333478514,B_loose_complex,B: 20-50 pc,28.393898797961022,2067.140072110312,0.3466229410185809,2066.793449169293,5963.65626013052,False,5962.434858437052,1.2214016934685787,0.0002048075274951959
152,Theia_3986,UBC_1138,8.75,7.8,8.275,188364908.9489802,188.3649089489802,100.9247,143.8368,244.7615,193.93543,0.10421,26.69429,0.0039038311189396,0.0479577724842718,0.9520422275157282,233.02328367009093,256.1586220132425,22313.64339,324.03585,50.48027,0.53651,-3.84336,-3.34489,-2.88327,320.3983,50.26748,0.59218,-3.40307,-3.41012,-24.21663,189.4857505467165,117.02025000740989,-6.0,1.6192560734976895,1.6192560734976895,True,72.46550053930662,C_wide_or_chance,C: >= 50 pc,59.30951513599974,21131.53893876902,0.3219373842262519,21131.217001384794,65638.6613488732,False,65617.23963172325,21.421717149947654,0.00032635822714436566
37,Alessi_21,UPK_452,7.9,7.5,7.7,50118723.36272725,50.118723362727245,875.6846,50.6138,926.2984,61.47343,0.36007,5.42109,0.0664202217635198,0.0572842367183346,0.9427157632816654,873.2361031825855,15.055655844696863,383.377665,107.6678,-9.5999,1.78076,-5.54873,2.68672,37.3579,110.29066,-11.69987,1.60001,-5.82163,3.27145,41.34261,72.15129136649132,46.21788244315994,-10.5,1.5611120101667362,1.5611120101667362,True,25.933408923331385,B_loose_complex,B: 20-50 pc,47.84821522684266,703.0868610050599,3.100918126433568,699.9859428786262,226.73506114580812,False,226.67277291395482,0.06228823185330157,0.0002747181293379476
